	zymo	positive_control_bx4	positive_control_bx3	positive_control_bx2	positive_control2_bx1	positive_control1_bx1
Listeria_monocytogenes	0.139	0.03045937347640525	0.029408896070861588	0.03288932598714503	0.02701515998805893	0.03614871117437365
Pseudomonas_aeruginosa_group	0.061	0.20923060678920027	0.2123732120558845	0.19143466069896292	0.15552857937154832	0.13967768703162403
Bacillus_subtilis_group	0.103	0.057149876939230834	0.05219329234480368	0.05159027694929897	0.06617060387475976	0.05783325100550966
Escherichia_coli	0.085	0.2385244620081884	0.24587622941548992	0.2363483034537976	0.2758396237162703	0.2576418641873229
Salmonella_enterica	0.087	0.2121507196048699	0.21752898418994235	0.2109597022960862	0.24558111485587528	0.22890690116287973
Lactobacillus_fermentum	0.216	0.04657380273231231	0.044166003087189994	0.04800046689093995	0.028652351402905053	0.04041745650018609
Enterococcus_faecalis	0.146	0.050917309796151625	0.04927575585098516	0.05101322599841884	0.040633661352251625	0.06206915131238916
Staphylococcus_aureus	0.152	0.036771582110941725	0.03881745329262871	0.0625076027986268	0.01925266626742982	0.04262010251705404
Saccharomyces_cerevisiae	0.0057	0.002514008893224675	0.0017430122677109326	0.0020806179085957857	0.001025522126310609	0.0026074885536031627
Cryptococcus_neoformans	0.0037	0.0004000123636083055	0.000228494186677461	0.00019242844462736736	0.00012433604850427336	0.0002740160287382844
