	basemean	Malnourishedmean	Well-nourishedmean	baseprev	Malnourishedprev	Well-nourishedprev	basestd	Malnourishedstd	Well-nourishedstd	meandiff	MWW_pval	MWW_qval
Occipital Delta	1.7403640998965517	1.7397099604705881	1.7417794197454544	1.0	1.0	1.0	0.18738064121976591	0.1875598712816738	0.18871112523453115	-0.0020694592748662366	0.8460127011809644	0.8460127011809644
Temporal Delta	1.3733411815344827	1.372202256210084	1.3758054017818182	1.0	1.0	1.0	0.19851735363124873	0.19257285673852434	0.21262664273862117	-0.0036031455717344674	0.6644829888313591	0.7594091300929818
Frontal Delta	1.4566573068850575	1.453778934815126	1.4628850573636363	1.0	1.0	1.0	0.17247156297499774	0.18119732492302196	0.15328402068278982	-0.009106122548510509	0.741283383260243	0.8086727817384469
Parietal Delta	1.4751388689770117	1.4777227845210086	1.4695482153454547	1.0	1.0	1.0	0.19502173449079452	0.1945934366386951	0.19762565078831146	0.008174569175554147	0.8358883154111385	0.8460127011809644
Frontal Low-Alpha	0.8074266646264366	0.7876764149663866	0.8501590229818182	1.0	1.0	1.0	0.24933035382514163	0.24394628638890065	0.2576836375713476	-0.06248260801543137	0.08684677906366471	0.18948388159345028
Frontal High-Alpha	0.2509002796321839	0.2279908616470588	0.3004679294545455	1.0	1.0	1.0	0.2120907715499489	0.21572763021601007	0.19686669596626774	-0.0724770678074867	0.018614696648340742	0.06382181708002539
Frontal Theta	1.1456525729885056	1.1379863545966387	1.1622394818727273	1.0	1.0	1.0	0.24236377898430347	0.235231224995625	0.2585769154892194	-0.024253127276088637	0.511134767445866	0.6456439167737255
Frontal Beta	-0.15959391958620692	-0.19954319668067227	-0.07315821096363637	1.0	1.0	1.0	0.26311567898002525	0.26064573344983866	0.24942395837878997	-0.12638498571703594	0.00263845417084969	0.019144896893974857
Frontal Gamma	-0.4697477550402298	-0.5094983244705882	-0.3837419775454545	1.0	1.0	1.0	0.2779062619793445	0.2790410682532544	0.2574197922090475	-0.12575634692513377	0.003190816148995809	0.019144896893974857
Parietal Theta	1.2408702712643678	1.230093274394958	1.264187773581818	1.0	1.0	1.0	0.2856138250922767	0.2758940174956347	0.3069240618317278	-0.034094499186859695	0.4546397055841469	0.6061862741121958
Parietal Low-Alpha	0.9765290785689656	0.9564380771344537	1.0199986998545454	1.0	1.0	1.0	0.2783272491276463	0.26470100755779163	0.30373611273384765	-0.06356062272009166	0.10839345460860138	0.21678690921720276
Parietal High-Alpha	0.3746092709885057	0.3547800734621849	0.4175124438181818	1.0	1.0	1.0	0.22648201507254492	0.22049271122136047	0.2352713822047756	-0.06273237035599705	0.031872748458963394	0.08499399589056905
Parietal Beta	-0.2384207906091954	-0.251104629605042	-0.21097757532727274	1.0	1.0	1.0	0.19253579066187868	0.18519447404638273	0.2066264863536684	-0.040127054277769275	0.23871781412827053	0.38194850260523283
Parietal Gamma	-0.6626835117413793	-0.667765190420168	-0.6516886069636363	1.0	1.0	1.0	0.22536444862222504	0.22760623854404569	0.2221050675876543	-0.016076583456531846	0.30792098947955715	0.4618814842193357
Temporal Theta	1.1433039112586207	1.1323607928571429	1.1669808401636363	1.0	1.0	1.0	0.26524147969517503	0.24195931470638754	0.3108460522430691	-0.034620047306493484	0.3299181098044738	0.46576674325337475
Temporal Low-Alpha	0.8893741253563219	0.8656709235126051	0.9406592348	1.0	1.0	1.0	0.2809496844987648	0.2572065280344294	0.32310788203044716	-0.0749883112873948	0.030355250682137097	0.08499399589056905
Temporal High-Alpha	0.3187990418275862	0.29268550783193276	0.37529923356363637	1.0	1.0	1.0	0.2427256009316275	0.2275872772347358	0.2661025896449038	-0.0826137257317035	0.004305532032920245	0.020666553758017174
Temporal Beta	-0.09230034029310345	-0.1356402969747899	0.0014715659818181823	1.0	1.0	1.0	0.275385563713252	0.24822421724233185	0.3085836204710159	-0.13711186295660813	0.00029975324878609236	0.005882712853027896
Temporal Gamma	-0.39482384099425283	-0.4416517246134454	-0.29350532916363636	1.0	1.0	1.0	0.30037352779464815	0.2824082237984069	0.31541354601200283	-0.14814639544980907	0.0004902260710856579	0.005882712853027896
Occipital Theta	1.3980534689137933	1.3923142140672269	1.4104711294	1.0	1.0	1.0	0.23730787514608756	0.23042802142251467	0.2532984077772474	-0.018156915332773194	0.5732957225610043	0.6879548670732051
Occipital Low-Alpha	1.1297154392586208	1.1164510831092436	1.1584146825636363	1.0	1.0	1.0	0.2442615121699346	0.23535419001927413	0.26244476518492876	-0.041963599454392764	0.21151609895610757	0.36259902678189865
Occipital High-Alpha	0.5565425672816091	0.5329800474453782	0.6075232920181819	1.0	1.0	1.0	0.21295437033167966	0.20495997820125073	0.22275405120520042	-0.07454324457280348	0.009887616031975442	0.039550464127901766
Occipital Beta	-0.13985914722413795	-0.15848811168067228	-0.09955284230909091	1.0	1.0	1.0	0.18116050767638717	0.17253089341318537	0.19410591160382815	-0.05893526937158136	0.04442515623893244	0.10662037497343785
Occipital Gamma	-0.5624070431609196	-0.5748928604789916	-0.5353922747818182	1.0	1.0	1.0	0.21610063700354076	0.21725393288537143	0.21303827185623198	-0.03950058569717341	0.15912782963055816	0.2937744547025689
